"support_wind_turbines","proximity_to_proposed","env_concern","trust_in_government","left_right_ideology","age","income","educ"
1,0,3,0,0,19,76643,2
1,0,3,0,1,20,14439,2
1,0,3,1,0,41,89913,1
1,0,3,0,0,72,40048,2
1,1,1,0,0,65,82577,1
1,1,3,1,0,20,17871,2
1,0,1,1,1,54,90818,1
0,0,2,1,0,19,20217,3
1,0,1,1,1,39,34210,2
1,0,3,1,1,77,85324,2
1,0,1,0,0,62,43167,3
1,0,1,1,0,72,18026,2
1,1,3,0,0,52,73744,2
1,1,3,0,0,81,72023,2
1,1,3,1,1,66,20221,3
0,1,1,0,1,29,46293,2
1,0,1,1,0,24,17752,3
1,0,2,1,1,76,79600,2
1,0,3,0,1,22,60101,1
1,0,1,0,1,61,63811,2
1,0,2,0,0,78,48378,2
1,1,3,1,0,49,66558,2
1,1,1,0,0,35,40504,2
1,0,3,0,0,69,35905,1
1,1,3,0,0,81,54167,3
1,0,3,0,0,67,41436,2
1,1,2,0,0,57,52182,2
1,1,3,1,1,18,97755,3
1,0,1,1,1,62,23299,1
1,0,1,1,1,56,53233,1
1,0,1,0,1,29,88018,2
1,0,1,1,1,54,78956,2
1,0,2,1,1,41,11141,1
1,0,2,1,0,20,81079,3
1,0,2,0,1,73,52549,1
1,0,2,0,1,33,26399,2
1,0,1,1,1,64,77926,1
1,1,2,0,0,25,79968,2
1,1,1,0,0,74,70358,1
0,0,1,0,1,72,32540,1
1,0,3,1,1,72,76682,1
1,0,2,0,0,44,54034,1
0,1,2,0,0,48,78771,3
1,0,1,1,0,38,77777,1
1,0,3,0,1,41,70908,1
1,0,3,1,0,47,10107,2
1,0,3,0,1,50,53415,1
1,1,3,1,0,60,17012,2
0,1,2,0,0,27,24511,1
1,0,3,1,0,47,47129,2
1,0,1,1,0,22,23758,2
1,1,2,0,1,59,42691,3
0,1,2,1,0,22,34192,2
1,1,3,0,1,56,67632,2
0,0,3,1,1,81,51059,2
1,0,2,0,1,48,93980,3
1,0,3,0,1,18,76105,2
1,0,3,1,1,53,81584,2
1,0,2,1,0,36,87440,2
1,0,1,1,1,30,78239,2
1,0,3,0,1,56,91877,3
1,0,2,0,1,32,18308,2
1,0,3,1,1,36,33170,2
0,0,1,1,0,45,52561,2
1,0,3,1,0,64,89250,1
1,0,1,1,0,55,89216,3
0,0,1,1,1,60,13511,1
0,0,2,0,1,45,12221,3
1,0,3,0,1,27,63723,3
1,0,3,1,0,74,61166,2
1,0,2,0,0,74,23623,2
1,0,2,0,0,23,30100,3
1,0,2,1,0,23,11201,1
1,1,1,1,0,70,38007,2
1,1,3,0,1,79,53573,2
1,0,1,1,0,26,54386,1
0,0,2,0,0,72,13317,2
0,0,1,1,1,21,11486,1
1,1,3,1,0,33,69479,2
1,1,3,1,1,80,93352,1
1,0,3,0,1,74,43898,2
1,0,3,1,1,19,63535,2
1,1,1,1,0,58,79035,1
0,0,1,0,0,51,15113,1
0,0,2,1,1,52,40869,2
1,0,2,0,0,45,30600,1
1,0,1,1,1,35,95378,2
0,1,1,0,1,61,84825,1
0,1,1,0,0,59,74282,1
1,0,1,1,1,45,99084,1
1,0,2,1,1,62,19528,2
1,0,3,0,1,33,65936,1
1,0,3,0,0,39,21487,1
1,0,2,1,0,31,72895,2
1,0,2,1,1,75,63108,2
1,0,1,1,1,69,58478,2
1,0,3,0,1,54,50588,2
0,1,1,0,0,38,17829,1
1,1,3,1,1,28,80079,1
1,0,3,1,0,46,78448,2
1,0,2,0,0,29,47282,2
1,0,1,0,0,28,98693,1
0,1,3,0,1,28,35379,1
1,0,1,1,1,63,40380,2
0,1,1,1,1,67,33966,1
0,0,1,0,0,39,53616,1
1,0,3,0,1,47,86004,3
0,1,2,0,1,20,29374,3
1,0,2,0,0,79,65531,2
1,0,3,1,1,82,70896,1
1,0,3,1,0,42,63806,2
1,0,3,1,0,42,75965,2
1,0,1,1,1,20,25858,1
1,0,1,1,1,67,94475,1
1,0,3,1,0,71,76853,2
1,0,1,0,0,51,40072,1
1,0,1,1,0,27,68017,2
1,1,1,1,1,29,56172,2
1,0,2,0,1,23,14396,2
1,0,2,1,1,56,52211,1
1,1,2,0,1,63,40666,2
1,0,1,0,1,43,84681,1
1,0,2,0,1,48,95870,1
1,0,1,0,0,49,82237,2
0,0,2,0,1,59,36821,1
1,0,3,0,1,77,47310,1
1,0,1,0,1,22,67212,2
1,1,1,1,0,76,60063,2
1,0,2,1,1,41,88029,1
1,0,1,1,1,35,70696,1
1,0,2,1,1,55,13026,3
0,0,2,1,1,64,18282,3
1,1,2,0,0,58,37250,1
1,0,2,1,1,39,31488,1
1,0,1,1,1,49,19635,1
1,0,3,0,0,80,42873,3
1,0,1,1,0,60,51580,1
1,0,3,1,0,54,58427,1
1,0,3,1,0,45,70646,1
0,1,3,1,0,37,39083,2
1,0,1,1,1,82,67901,2
1,0,3,0,1,27,37677,2
1,1,1,0,0,75,83692,1
0,1,2,0,1,47,31942,3
1,1,1,1,1,51,77831,2
1,0,2,1,1,25,68563,3
0,1,3,1,0,36,25397,1
1,0,1,0,0,20,70790,1
0,0,2,0,1,82,31289,1
1,0,1,0,1,45,55100,1
1,0,3,1,1,37,31623,3
0,0,1,0,1,38,27312,2
1,1,2,0,1,28,44377,3
1,0,1,0,1,49,92099,2
1,0,3,1,1,67,26375,2
1,0,2,1,0,48,61876,1
1,1,1,1,0,32,93259,1
0,1,2,1,1,35,12935,2
1,0,2,0,1,76,38138,3
1,1,1,1,0,65,81314,3
1,1,2,0,0,35,67004,1
1,1,3,0,0,23,94672,1
1,0,1,0,1,82,72108,1
1,0,3,1,1,41,48552,1
0,1,1,1,0,77,13547,1
1,1,1,1,0,26,15595,2
1,0,1,1,0,61,39704,1
1,1,3,1,1,77,74276,2
0,0,2,0,1,33,10023,2
1,0,2,1,1,59,67579,3
1,0,3,1,1,31,24127,1
1,1,2,0,0,38,91871,1
1,0,1,1,1,73,23005,2
0,0,2,0,0,42,21602,1
1,0,3,1,0,38,89075,1
1,0,2,0,1,50,29357,3
1,1,2,1,1,60,62095,2
0,0,1,1,0,35,49285,1
0,1,1,1,1,26,35293,1
1,0,3,0,0,42,43380,1
0,0,2,0,0,32,62029,1
1,0,1,0,0,29,82997,3
1,0,1,0,1,35,58720,2
1,0,3,1,0,54,10637,2
1,0,3,0,0,84,79897,1
1,1,3,1,1,47,57719,1
1,0,2,1,1,58,68386,3
1,0,3,1,1,25,62934,3
1,0,2,0,0,46,96133,2
1,0,1,1,1,33,36264,2
1,0,1,1,1,28,52433,3
1,0,2,0,0,54,82790,1
1,0,1,0,1,51,93404,2
0,0,3,1,0,48,51658,2
1,1,1,0,0,67,66448,3
1,1,3,1,1,29,27267,1
1,0,2,1,0,81,51823,1
1,0,3,1,0,64,97483,2
0,0,1,0,1,65,25326,3
0,1,1,0,1,33,40641,2
1,0,3,0,1,26,69963,2
1,0,2,1,1,54,35376,3
1,0,1,0,0,82,94165,2
0,1,2,1,1,66,30335,2
1,0,2,0,0,42,89936,2
1,0,3,0,0,49,24576,3
0,0,2,0,1,41,49577,2
1,0,2,1,0,56,49169,2
1,0,1,0,1,31,84109,1
0,1,2,0,1,84,33296,2
1,0,1,1,1,33,79895,1
1,1,3,1,0,57,32965,1
1,0,3,1,0,44,95114,1
1,0,1,0,1,78,63828,2
1,1,3,0,1,46,57056,1
0,0,1,0,1,81,25714,2
1,1,2,0,0,71,86412,1
0,0,1,0,0,68,56466,2
0,0,1,0,1,48,33589,2
0,0,1,0,0,61,27878,2
1,1,3,1,0,40,28350,3
0,0,1,0,0,22,49015,1
1,0,2,1,0,77,80040,1
1,1,3,0,1,31,31302,1
1,1,1,1,0,79,40041,2
1,1,1,1,0,73,66684,2
1,0,1,0,0,67,22647,1
1,0,2,0,0,53,95625,2
1,0,1,1,1,28,38331,3
1,0,3,1,1,38,46548,2
0,1,3,0,1,37,25281,2
0,0,1,0,1,51,78954,2
1,0,2,0,0,51,65244,3
0,0,1,0,0,31,11356,2
1,0,3,0,1,81,10344,3
1,0,3,0,1,26,52808,1
1,1,1,0,0,21,48913,2
1,0,1,1,0,77,86949,1
1,1,1,1,1,20,84411,1
1,0,3,1,1,85,60769,1
1,0,2,1,1,46,61336,2
1,0,1,0,0,63,44202,2
0,1,2,0,0,20,16104,1
0,0,1,0,1,83,36741,1
1,0,3,0,1,47,50488,3
0,0,1,0,0,18,42915,1
1,0,3,1,1,64,20452,1
1,0,1,1,1,49,37791,1
1,0,1,1,1,32,99056,2
1,0,3,1,1,27,44943,1
1,0,3,1,0,55,94694,2
1,0,3,0,0,68,47892,2
1,0,1,0,0,84,89979,2
1,0,3,1,0,27,42464,1
1,0,3,0,0,24,33778,3
0,0,1,0,1,25,18284,3
1,0,1,1,0,79,82796,3
0,1,2,1,1,53,55524,1
1,0,3,1,0,33,85410,2
1,0,2,1,0,44,89277,1
1,0,3,0,0,52,48542,2
1,1,1,1,0,38,54934,1
1,0,3,1,1,69,98087,3
1,1,1,1,0,32,89160,1
0,0,1,0,0,61,76807,1
0,1,1,1,0,78,59849,1
1,1,3,0,0,53,20106,1
0,0,1,0,0,44,46511,1
1,0,3,1,0,73,84762,1
1,1,1,0,1,53,59864,2
0,1,1,0,0,26,15057,2
1,1,2,1,1,35,60975,1
1,1,2,0,1,47,90171,1
1,0,1,1,0,80,86598,1
1,1,1,1,0,41,57671,1
1,0,3,1,1,60,33491,1
1,0,2,1,1,44,17618,1
1,0,3,0,1,70,27685,3
1,1,2,1,1,60,64920,1
0,1,1,1,1,65,20391,1
1,0,3,1,0,63,87131,1
1,0,1,1,1,77,94542,1
1,0,1,1,0,61,19231,1
1,1,2,1,0,25,80242,3
1,1,3,1,0,33,16572,2
0,1,1,0,0,80,59104,2
1,0,1,1,1,31,77636,1
1,0,2,0,1,85,81772,2
0,0,1,1,0,49,46043,2
1,0,1,0,0,59,99735,2
1,0,3,0,1,71,35945,2
1,1,2,1,0,36,60469,2
0,0,2,0,1,38,29135,1
1,0,2,1,1,47,94035,3
1,0,2,0,1,83,19604,2
1,0,3,0,1,62,68556,3
1,0,3,1,1,25,84414,3
1,0,1,0,0,55,44723,2
1,0,3,1,0,82,72607,1
1,0,3,0,1,18,20914,2
0,0,1,1,0,58,13765,3
1,0,1,0,1,19,27059,2
1,0,3,0,1,59,38363,3
0,0,1,1,0,62,43828,1
1,1,3,1,1,38,40577,2
1,1,3,0,1,40,84632,1
1,0,3,1,0,20,35112,3
1,1,3,0,0,22,13167,2
1,0,1,0,0,42,73253,1
1,0,3,0,1,62,32304,2
1,0,3,1,1,32,85832,1
1,0,2,0,1,77,40623,3
1,0,1,1,0,51,66986,2
1,0,1,0,0,34,78448,1
1,1,1,1,1,20,49881,1
0,0,1,1,0,34,68838,2
1,0,3,0,1,84,26874,1
1,1,1,0,1,19,46476,1
0,0,1,1,1,84,26830,1
0,0,1,1,1,67,44758,1
1,0,3,0,0,21,31518,2
1,0,1,0,0,55,30997,1
0,0,1,0,1,64,32020,1
1,1,2,1,0,65,98321,2
1,0,1,1,1,77,91554,3
1,0,2,1,1,33,60050,2
0,0,1,0,1,84,44757,1
1,0,3,1,0,61,92894,1
1,0,1,0,0,56,45778,2
1,0,1,0,0,66,48930,2
1,0,2,0,0,51,94117,2
1,0,2,1,1,68,43122,1
1,0,1,1,0,41,40491,2
1,0,3,1,0,70,60894,1
0,0,2,1,1,73,56085,1
0,1,1,1,0,56,12869,2
1,0,3,1,0,42,47045,2
1,0,2,1,0,48,63456,2
0,0,2,1,0,47,17938,3
1,1,2,1,1,37,41319,2
0,1,2,0,0,26,10871,2
1,1,2,0,1,67,59915,3
1,1,3,1,1,44,81909,2
1,0,3,1,1,85,99909,2
0,0,2,0,0,55,55550,2
0,0,1,1,1,34,31560,2
0,1,2,1,0,18,10832,2
1,0,2,0,1,69,87608,1
1,0,2,1,0,24,15229,2
1,1,3,0,0,58,75640,1
1,0,3,0,0,53,61192,2
1,0,3,1,1,51,63777,1
1,0,3,0,1,84,70467,2
0,0,1,0,1,43,21029,1
0,0,1,0,1,80,65023,1
1,0,2,1,0,60,10688,2
1,0,1,0,1,29,33682,2
1,1,2,0,0,28,15210,2
1,0,1,0,1,83,61943,1
0,0,1,1,0,40,13215,1
0,0,1,0,1,84,25247,1
1,0,1,1,1,22,70270,3
0,1,1,0,0,33,38742,2
0,0,2,0,0,68,18610,1
1,0,3,0,0,63,89457,1
1,1,3,0,0,22,72554,3
0,1,1,1,0,82,23672,1
1,0,3,0,0,70,50060,2
0,0,1,0,0,33,26554,1
1,0,3,0,1,62,73280,1
0,1,1,0,0,64,16952,2
0,1,1,0,1,77,27324,2
1,1,3,0,0,32,47327,2
1,0,3,0,1,80,55121,3
1,0,1,0,1,28,67001,2
1,1,1,1,1,59,50384,3
0,0,1,0,1,48,44472,1
1,1,3,0,0,49,25999,2
0,0,1,0,0,36,58220,1
1,0,2,1,1,68,66486,2
1,0,3,1,1,58,91374,3
1,0,3,1,0,21,26859,1
1,1,2,0,1,36,96501,1
0,1,3,0,0,78,12294,2
0,0,2,1,0,44,14324,1
1,0,2,0,1,23,85157,2
1,0,1,0,1,60,50900,3
0,1,1,0,1,69,65364,1
1,0,1,0,0,59,92366,1
0,0,2,0,1,61,30417,1
1,0,2,1,0,45,38168,2
1,1,2,1,0,57,81177,1
1,0,3,0,1,80,69775,1
0,0,3,0,1,45,21959,1
1,1,1,1,0,60,72571,1
0,0,1,1,0,29,93109,2
0,1,2,1,1,61,55771,1
1,0,1,0,0,56,84156,1
0,0,2,1,1,29,20760,1
1,1,1,1,0,34,65342,1
1,1,3,0,0,41,32081,1
1,1,3,1,1,67,24476,2
1,0,1,0,1,63,61208,3
0,1,1,1,1,44,42346,1
1,0,2,0,0,37,73835,2
1,0,3,1,1,30,88953,2
0,1,3,0,1,42,27838,1
1,1,1,1,1,64,46688,2
1,0,2,0,1,62,82322,2
0,0,1,0,1,69,36002,1
1,0,3,0,0,66,13399,1
1,0,1,1,1,28,69286,3
0,0,2,1,1,80,89487,2
1,1,3,1,1,21,94809,2
1,0,3,1,1,80,82480,1
1,1,1,1,0,68,33527,1
1,0,1,1,0,33,71451,2
1,0,1,0,0,79,46893,3
1,0,2,0,1,77,73878,2
1,0,1,1,0,69,64115,1
1,0,3,0,0,48,32652,3
1,0,1,1,0,77,29119,1
0,1,1,1,0,46,25490,2
0,0,3,0,1,31,44213,1
0,0,1,1,1,54,11701,1
1,0,3,1,1,36,63285,1
1,0,1,0,0,47,82897,1
1,0,1,0,0,79,65040,1
0,1,1,0,0,50,31351,2
1,1,3,1,1,48,86951,2
1,0,3,1,0,36,61730,1
1,1,1,0,0,46,93189,2
0,0,1,0,1,74,80620,2
0,0,1,1,1,74,26781,1
1,0,2,1,0,79,30342,1
1,1,3,0,0,36,67830,1
1,0,1,0,1,42,56640,1
1,0,3,1,0,35,40446,3
1,0,2,1,0,70,81060,1
1,0,3,1,1,18,42490,2
1,0,1,0,1,43,63432,3
1,1,2,1,1,35,62195,2
0,0,1,1,1,74,20656,2
0,0,1,1,1,55,25952,1
1,1,3,0,0,60,44067,2
1,0,3,1,1,30,27950,1
0,0,3,1,1,38,38020,1
1,0,3,0,0,43,81186,2
1,1,2,0,0,44,10905,1
1,0,2,1,1,79,64681,2
1,0,1,0,0,25,53432,2
1,0,2,0,0,83,99054,2
1,1,1,0,1,70,85542,1
1,0,2,0,1,57,51736,1
1,1,1,1,0,51,22803,2
0,1,1,0,0,18,66369,2
1,0,2,1,0,82,41213,1
1,0,3,0,1,21,42481,2
0,0,1,1,1,68,24086,1
0,0,1,1,1,57,32969,2
1,0,1,0,1,22,84938,1
1,0,1,1,0,44,86759,1
1,0,3,0,0,28,90472,3
1,0,2,0,0,83,55231,2
1,0,1,0,0,68,69910,1
1,0,3,1,1,61,62593,3
0,0,1,0,1,29,27448,2
1,1,3,0,0,35,92153,3
0,1,1,0,0,67,43319,2
1,0,1,0,1,58,80159,3
1,1,3,1,1,81,62761,2
1,1,3,0,0,37,58370,3
0,0,1,1,0,77,18207,1
1,1,1,1,1,24,46479,2
1,0,3,1,0,33,92844,3
0,0,1,1,0,27,49275,2
1,1,3,1,1,84,83323,2
1,0,3,1,0,42,70713,3
1,0,3,0,0,82,73179,1
0,0,1,0,0,77,27543,2
1,1,1,1,0,43,47102,1
1,1,2,1,0,53,64229,2
0,0,1,1,0,49,12601,1
1,0,3,1,1,61,99126,2
1,1,3,1,0,35,31481,2
1,0,3,1,1,45,25447,3
1,0,3,0,0,75,89892,3
1,0,1,1,0,42,50261,1
0,1,2,1,0,46,16304,3
0,0,1,0,0,81,28749,3
0,1,2,0,1,70,19267,2
1,0,2,1,0,60,30023,1
0,1,2,1,1,64,37490,3
0,1,1,0,1,29,33320,2
1,1,2,0,1,48,82664,3
0,1,2,1,0,46,49187,2
1,1,3,0,1,35,60774,2
1,0,3,0,1,22,60059,2
1,1,1,1,1,62,51759,2
1,0,1,0,1,72,89034,2
1,1,2,0,0,58,95060,1
1,0,2,1,1,84,72756,1
1,0,3,0,0,58,89526,1
1,0,3,1,0,41,96865,1
1,1,2,1,1,22,80002,3
1,1,2,1,0,83,69898,1
1,1,3,1,0,29,22693,1
1,0,3,1,0,27,90600,2
0,0,1,0,1,32,16785,2
1,0,3,0,1,85,38345,2
0,1,2,0,0,76,26846,2
1,0,1,1,0,36,75584,2
1,0,1,0,0,66,58415,1
1,1,1,0,0,61,86371,3
1,0,1,0,1,57,93109,2
1,0,3,0,1,31,94070,2
1,0,3,1,1,82,60826,1
0,0,1,1,0,29,22855,3
1,0,3,1,1,57,54430,2
1,0,3,0,0,34,50668,2
1,0,2,1,0,84,65194,1
1,0,3,1,0,47,24796,3
0,1,3,1,1,70,31877,1
0,0,1,1,1,72,47905,1
0,0,3,0,1,49,58309,1
1,0,1,1,0,64,51145,1
0,1,1,0,1,43,67240,3
1,0,2,0,1,35,58651,2
1,0,1,1,1,45,83420,1
1,0,3,0,1,34,22164,2
1,0,2,1,1,18,34738,2
1,0,2,0,0,57,13236,1
1,0,3,0,1,42,69688,2
1,1,1,1,0,34,64921,2
1,0,3,0,1,60,79136,1
1,0,2,1,1,27,23136,3
0,0,1,1,0,62,76065,1
0,0,1,0,1,43,70733,2
1,1,2,1,1,50,14093,2
1,0,3,0,1,21,96728,2
1,0,2,1,0,21,74998,2
0,0,1,1,1,78,49989,1
1,0,3,0,1,26,33867,1
1,0,1,1,1,52,54475,1
1,0,3,0,0,73,63321,2
0,0,1,0,0,32,85883,1
0,1,3,1,0,64,23021,1
1,0,3,1,0,66,56199,2
1,0,3,0,1,78,32711,3
1,0,3,0,0,34,33745,1
1,0,1,0,0,52,50118,1
1,0,1,0,1,43,81442,1
1,1,2,0,1,51,19356,2
0,0,1,0,0,75,28559,3
0,0,3,0,0,37,18027,2
1,0,1,0,1,33,58557,3
1,0,2,0,1,62,83326,2
1,0,2,0,0,32,95940,3
0,0,1,0,1,74,25626,2
0,1,3,1,1,22,14625,1
1,0,3,1,1,75,39341,3
1,0,3,0,1,82,23821,2
1,0,3,0,1,46,33559,2
1,0,1,1,0,33,67348,3
1,0,1,1,0,76,39978,3
1,0,2,1,1,47,42639,2
1,0,1,1,0,75,33300,2
0,1,1,1,0,82,13952,1
1,0,1,0,0,74,18482,1
1,0,2,1,0,83,92855,3
1,1,3,1,0,79,17923,1
1,0,2,1,1,72,55598,2
1,0,1,0,0,63,95351,2
1,0,1,1,1,59,45167,1
1,0,1,1,0,68,62801,2
0,0,1,1,1,70,92911,3
1,0,3,0,1,37,80658,3
1,0,1,1,0,44,16042,3
0,0,1,1,1,41,23076,3
1,1,1,0,0,70,61800,3
0,0,1,0,0,66,55609,2
1,1,3,0,1,31,80820,1
1,0,1,1,0,19,76913,3
1,0,2,0,0,57,92323,2
1,1,3,1,1,83,22970,2
0,1,2,1,1,74,24001,1
0,0,2,1,0,20,72464,3
1,0,1,1,0,60,86683,2
1,0,3,0,1,41,40958,3
1,0,3,1,1,74,24504,3
1,0,2,1,0,58,96094,3
1,0,2,1,0,19,85542,2
1,0,1,1,1,23,76730,3
0,0,1,0,0,52,19690,2
1,0,3,1,0,27,73173,3
1,0,2,1,1,32,74084,1
0,1,2,0,1,62,23805,2
0,0,2,1,1,80,44916,1
0,0,2,0,1,78,52111,1
1,0,3,1,1,27,97809,2
0,0,1,1,0,80,58423,1
0,0,1,1,1,82,36507,3
1,0,3,0,0,46,18342,2
1,0,2,0,1,19,82682,3
1,1,2,0,0,72,96899,2
1,1,2,0,0,25,82048,3
1,1,1,0,0,29,78964,1
1,1,2,1,1,80,99474,3
0,1,1,0,1,74,83147,2
0,0,1,1,1,23,42248,1
1,0,3,1,1,49,46286,2
1,1,3,1,1,52,72302,2
1,0,2,1,0,38,92336,2
0,1,1,1,1,25,20120,2
1,0,1,1,0,19,69388,2
1,0,1,0,1,72,57346,3
1,0,2,0,0,34,67978,3
0,1,2,1,0,66,48799,1
1,0,2,1,0,62,52601,2
1,0,1,0,1,25,81535,1
1,0,1,0,0,85,89423,1
0,0,3,1,1,48,53754,2
1,0,2,1,0,56,55238,1
1,0,2,1,0,82,57594,2
1,1,3,1,0,46,90674,2
1,0,1,1,1,56,91338,3
0,1,1,0,1,73,22815,2
1,1,3,0,0,50,93699,2
1,1,3,0,1,51,74430,2
1,0,2,1,1,35,54794,3
0,0,2,1,0,48,31277,2
1,0,2,0,1,68,71850,1
1,0,2,0,0,43,44328,1
0,1,1,1,1,68,65269,1
1,0,1,1,0,33,60938,2
1,0,1,0,0,55,30949,1
0,0,1,0,0,43,41247,3
0,1,2,1,1,53,11840,2
1,1,3,1,0,23,46224,2
1,1,1,0,0,21,47776,2
1,0,3,1,1,40,69685,3
0,0,1,1,1,56,32917,2
1,1,1,0,0,18,29397,2
1,0,2,1,1,79,74261,1
1,0,1,1,0,41,86171,2
1,0,2,1,1,57,94937,1
1,0,1,1,0,46,93250,2
1,0,3,0,1,70,91624,1
0,1,1,0,1,29,22681,1
0,0,3,1,1,47,14586,1
1,0,1,0,1,36,41860,3
1,0,3,0,1,37,82771,2
0,0,2,1,0,62,22195,2
1,0,1,1,0,23,75111,1
1,0,1,0,1,74,83903,2
0,0,2,0,0,56,17692,1
1,0,2,1,0,20,98557,2
1,0,2,0,0,73,62140,1
1,0,3,1,0,21,76014,1
1,1,2,0,1,38,47337,1
0,0,1,1,1,65,22840,2
1,0,2,1,1,63,47659,2
1,0,3,1,0,40,57438,3
0,0,1,0,1,78,24850,2
1,1,2,1,1,36,59979,1
1,0,3,1,1,41,61335,2
1,0,2,0,0,66,56792,3
0,0,1,0,1,65,30962,1
1,0,3,1,1,52,90339,2
0,1,1,1,0,76,11486,2
1,0,1,1,0,39,72954,2
1,1,1,1,1,18,65927,3
1,1,3,0,1,70,86104,2
1,0,2,1,0,85,46186,1
1,0,1,1,0,68,73885,2
1,0,1,1,0,62,88498,3
1,0,1,1,1,54,89955,1
1,0,1,1,0,64,70958,3
1,1,3,0,0,31,91855,2
0,0,3,0,1,37,46296,2
1,0,3,1,1,43,85267,2
0,0,1,0,0,43,67632,2
1,1,2,0,1,23,98156,3
1,0,3,0,1,81,63332,1
1,0,2,0,1,71,76139,2
1,0,3,1,0,78,42656,1
1,0,3,0,0,32,89977,2
1,0,1,1,1,60,75325,1
0,1,1,1,0,39,93425,3
1,1,2,0,1,84,45124,3
1,1,2,1,1,77,83555,1
1,0,1,0,1,34,80016,1
1,0,1,0,1,74,39634,1
1,0,1,1,1,60,94014,2
0,0,1,0,0,75,54631,2
1,0,1,1,0,40,26964,2
1,0,1,0,0,22,19803,3
0,1,1,1,1,59,26466,1
1,0,2,1,1,77,12124,3
1,0,3,1,0,42,86027,1
1,0,2,1,1,35,54409,1
0,0,1,0,1,70,43235,3
1,1,2,1,0,21,57987,2
1,1,3,1,1,54,72465,2
1,0,1,1,0,71,92434,1
1,0,1,1,0,42,73357,1
1,0,3,0,0,26,77166,1
1,1,1,0,0,20,78555,1
1,1,1,1,1,60,66352,2
1,0,2,1,0,24,84703,3
1,0,2,0,0,55,45112,2
1,0,1,1,1,42,98024,2
1,1,3,0,0,84,70885,2
1,0,2,1,0,83,72864,1
0,1,1,1,1,37,75697,2
0,0,1,0,1,48,25763,1
1,1,1,0,0,24,92471,2
1,0,1,1,0,73,50671,2
1,1,3,0,0,80,65076,2
0,0,1,0,1,37,32682,3
1,0,3,0,1,69,99087,2
1,0,1,1,0,27,65321,2
1,0,1,0,0,56,72615,3
1,0,2,1,0,80,89992,1
0,1,2,1,1,60,19146,1
1,1,3,1,1,28,84038,3
1,0,2,1,0,83,40028,2
1,0,2,1,1,27,61248,1
1,0,2,0,1,53,67188,2
1,1,2,1,0,29,96216,2
0,0,3,0,1,74,34526,1
1,1,2,0,1,25,64634,2
1,1,3,0,1,64,27651,2
0,0,1,0,1,58,57248,3
1,1,1,0,1,76,94557,1
1,0,2,1,1,28,83247,2
1,0,2,0,1,37,28513,1
1,1,1,0,1,82,73957,3
1,0,3,0,1,72,93980,3
0,0,1,0,1,39,30791,2
1,0,1,1,0,28,69023,1
1,0,3,1,0,40,96684,2
1,1,3,1,1,30,60725,2
1,0,3,1,0,40,85878,2
1,0,1,1,0,63,81820,2
1,1,2,0,0,40,36110,2
1,1,1,0,0,40,97239,2
0,0,1,1,0,66,17690,1
1,0,1,1,0,77,20254,1
1,1,2,1,1,32,44115,1
1,1,2,1,0,56,88129,1
1,0,1,1,1,30,71334,2
1,0,3,1,1,70,56828,3
0,1,1,1,0,64,19507,2
1,0,1,1,1,69,29454,1
1,0,1,1,1,45,96760,1
1,1,3,1,0,78,70964,1
1,0,3,0,1,54,20527,1
0,1,2,1,0,85,53276,2
1,0,1,1,1,61,83881,2
0,0,1,0,1,69,70614,2
0,0,1,0,1,71,22706,2
1,0,1,0,0,18,46406,1
1,0,3,0,0,36,39380,1
0,0,1,1,1,40,80955,1
0,1,1,0,1,35,27461,3
1,0,1,0,0,41,76078,1
0,0,1,1,1,83,27570,2
1,0,1,1,0,55,88690,2
1,0,2,0,0,41,98905,1
1,0,2,1,0,43,19054,2
1,0,1,1,0,31,63761,1
1,0,2,0,1,43,98159,1
1,0,2,1,0,40,54636,3
1,0,2,0,1,46,11431,3
1,0,1,0,0,78,95346,2
1,0,2,1,0,28,33277,1
1,0,2,1,1,33,82452,2
1,1,3,0,1,51,88633,1
1,0,3,1,0,30,16571,2
1,0,2,0,1,73,43760,3
1,0,1,0,1,18,34420,1
1,1,3,0,0,55,77031,1
1,0,2,0,0,63,90904,3
0,1,2,1,1,68,24525,2
1,0,1,0,0,26,53579,3
1,0,2,1,0,75,45245,1
1,1,2,1,0,49,95251,2
1,0,3,1,1,80,59861,3
0,1,2,0,1,77,82334,1
0,0,2,0,1,42,33806,2
1,0,2,0,0,33,70389,1
1,1,3,0,1,20,10087,1
0,1,2,1,1,75,44488,3
1,0,3,0,0,50,38403,1
1,1,1,1,1,50,61959,1
0,0,1,1,1,47,43392,3
1,0,2,1,0,28,12298,3
0,0,1,1,0,68,31369,1
0,0,1,1,1,60,20114,1
1,0,1,1,1,54,94216,2
1,0,3,1,0,54,51421,1
0,0,1,0,1,74,24618,3
1,1,2,0,1,67,77194,2
0,1,1,0,0,71,32470,2
0,0,1,0,1,21,19316,1
1,0,2,0,0,26,87167,1
1,0,3,0,1,78,56175,3
1,0,3,1,1,23,87529,2
1,1,3,1,1,70,58858,2
1,0,2,1,1,69,26963,2
1,1,1,1,0,26,76127,1
0,0,2,1,1,72,48589,1
0,0,1,0,1,21,14721,3
1,0,3,1,1,22,91988,2
1,1,2,0,1,61,77254,2
1,0,3,0,0,55,98901,1
0,0,3,1,1,85,11880,1
1,0,2,0,1,62,58815,2
1,0,3,0,1,53,11187,3
